attr1,attr2,family,num_leafs,p_value,r_sqrd
k1,k2,Dicistroviridae,17,4.141329029331428e-68,0.9472942315981744
k1,k3,Dicistroviridae,17,6.267010255835988e-56,0.9187416423340171
k1,k4,Dicistroviridae,17,1.3884755206081312e-47,0.8901643901658391
k1,k5,Dicistroviridae,17,5.313518831586524e-07,0.41433825787421896
k1,reading_frame,Dicistroviridae,17,5.112457372903148e-35,0.8523806613987835
k1,codon_position_1,Dicistroviridae,17,2.484085927014188e-07,0.4501863196134911
k1,codon_position_2,Dicistroviridae,17,5.848148293264962e-49,0.9171193138919703
k1,codon_position_3,Dicistroviridae,17,4.1221864996001247e-25,0.7733907050766342
k1,reading_frame_shift_1,Dicistroviridae,17,6.766777238212961e-40,0.8796810196920891
k1,reading_frame_shift_2,Dicistroviridae,17,5.077120053320724e-38,0.8698917338803461
k2,k3,Dicistroviridae,17,2.0065787538352643e-136,0.9950793617488455
k2,k4,Dicistroviridae,17,2.2740099540518864e-99,0.9823079642427947
k2,k5,Dicistroviridae,17,3.156396613229996e-12,0.5523152676784266
k2,reading_frame,Dicistroviridae,17,4.213077422182812e-73,0.9685105535053605
k2,codon_position_1,Dicistroviridae,17,6.912274399498424e-06,0.3975719189254998
k2,codon_position_2,Dicistroviridae,17,2.072647948838316e-22,0.7441338296854386
k2,codon_position_3,Dicistroviridae,17,1.0903286212412101e-44,0.9013021097565364
k2,reading_frame_shift_1,Dicistroviridae,17,2.652189000339011e-84,0.9797733696045356
k2,reading_frame_shift_2,Dicistroviridae,17,6.618351463451414e-75,0.9706823866093497
k3,k4,Dicistroviridae,17,2.140018034856257e-134,0.9947232714621902
k3,k5,Dicistroviridae,17,5.488632478860898e-14,0.5875843947264885
k3,reading_frame,Dicistroviridae,17,1.1141847904000328e-93,0.9860145546434547
k3,codon_position_1,Dicistroviridae,17,0.0001723047250090646,0.33639177288058736
k3,codon_position_2,Dicistroviridae,17,7.329239656478174e-19,0.6985560551403109
k3,codon_position_3,Dicistroviridae,17,5.493621866169192e-56,0.9376431665634085
k3,reading_frame_shift_1,Dicistroviridae,17,7.318155635322283e-112,0.9931452279923229
k3,reading_frame_shift_2,Dicistroviridae,17,1.3920157739228722e-91,0.9848131626223169
k4,k5,Dicistroviridae,17,1.8170879006940594e-17,0.6467299526897228
k4,reading_frame,Dicistroviridae,17,8.523209426733078e-119,0.9947744981537384
k4,codon_position_1,Dicistroviridae,17,0.0013123590130168599,0.2900335361701307
k4,codon_position_2,Dicistroviridae,17,1.7157310274577194e-16,0.6624676582460794
k4,codon_position_3,Dicistroviridae,17,8.361272938614476e-64,0.9544208275121494
k4,reading_frame_shift_1,Dicistroviridae,17,2.1058241861646927e-134,0.9971614438316347
k4,reading_frame_shift_2,Dicistroviridae,17,5.745957024232825e-103,0.9902869088954834
k5,reading_frame,Dicistroviridae,17,3.4923987996873365e-19,0.7030788592256318
k5,codon_position_1,Dicistroviridae,17,0.08988216386077011,0.15550902535249134
k5,codon_position_2,Dicistroviridae,17,0.008695187205279278,0.23854872274595376
k5,codon_position_3,Dicistroviridae,17,4.3992100708687076e-14,0.6198529453588775
k5,reading_frame_shift_1,Dicistroviridae,17,2.753324861167679e-16,0.6590859462479023
k5,reading_frame_shift_2,Dicistroviridae,17,5.158743934249964e-16,0.6545285843919137
reading_frame,codon_position_1,Dicistroviridae,17,0.0019624167036355806,0.2798715137998206
reading_frame,codon_position_2,Dicistroviridae,17,2.1850518579233873e-13,0.6062084713168308
reading_frame,codon_position_3,Dicistroviridae,17,1.5665226930678839e-62,0.9520434880246547
reading_frame,reading_frame_shift_1,Dicistroviridae,17,5.859868013361146e-123,0.995559741108839
reading_frame,reading_frame_shift_2,Dicistroviridae,17,4.81129198988211e-100,0.9891070116076452
codon_position_1,codon_position_2,Dicistroviridae,17,2.1102620362632994e-05,0.377706168812329
codon_position_1,codon_position_3,Dicistroviridae,17,0.5214786278195189,0.05908852765367205
codon_position_1,reading_frame_shift_1,Dicistroviridae,17,0.0015881403976904251,0.28526266698193176
codon_position_1,reading_frame_shift_2,Dicistroviridae,17,0.0022901363984033684,0.2758691551956175
codon_position_2,codon_position_3,Dicistroviridae,17,8.287116178260576e-11,0.5492078327731931
codon_position_2,reading_frame_shift_1,Dicistroviridae,17,1.4271756040242552e-15,0.6469728824112089
codon_position_2,reading_frame_shift_2,Dicistroviridae,17,4.638613813866585e-15,0.6379475168665603
codon_position_3,reading_frame_shift_1,Dicistroviridae,17,3.4071271922106516e-64,0.9551247196222264
codon_position_3,reading_frame_shift_2,Dicistroviridae,17,1.1779830443482662e-60,0.9483046087932533
reading_frame_shift_1,reading_frame_shift_2,Dicistroviridae,17,4.460675334321095e-112,0.9932026939151125
